Generic Name,Brand Names,DrugBank Accession Number,Summary,Background,Weight,Chemical Formula
Tedizolid phosphate,Sivextro,DB09042,Tedizolid phosphateis an oxazolidinone class antibiotic that inhibits bacterial protein synthesis and is proven to be effective in the treatment of certain Gram-positive bacterial infections.,"Drug-resistant bacteria, such as methicillin-resistantStaphylococcus aureus, vancomycin-resistantEnterococcus faecium, and penicillin-resistantStreptococcus penumoniae, represent a massive public health threat.7,10Tedizolid is a member of the oxazolidinone class of antibiotics, which includes the previously approvedlinezolidand is generally effective against multidrug-resistant Gram-positive bacteria. Tedizolid is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) and is generally more effective and more tolerable thanlinezolid.15,7,3Tedizolid was approved by the FDA on June 20, 2014, for sale by Cubist Pharmaceuticals as tedizolid phosphate (SIVEXTRO®). This product is currently available as both an oral tablet and as a powder for intravenous injection.15",Average: 450.323Monoisotopic: 450.08529742,C17H16FN6O6P
Tedizolid,,DB14569,Tedizolidis an oxazolidinone class antibiotic that inhibits bacterial protein synthesis and is proven to be effective in the treatment of certain Gram-positive bacterial infections.,"Drug-resistant bacteria, such as methicillin-resistantStaphylococcus aureus, vancomycin-resistantEnterococcus faecium, and penicillin-resistantStreptococcus penumoniae, represent a massive public health threat.5,8Tedizolid is a member of the oxazolidinone class of antibiotics, which includes the previously approvedlinezolidand is generally effective against multidrug-resistant Gram-positive bacteria. Tedizolid is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) and is generally more effective and more tolerable thanlinezolid.14,5,1Tedizolid was approved by the FDA on June 20, 2014, for sale by Cubist Pharmaceuticals as tedizolid phosphate (SIVEXTRO®). This product is currently available as both an oral tablet and as a powder for intravenous injection.14",Average: 370.344Monoisotopic: 370.11896653,C17H15FN6O3
Efinaconazole,Jublia,DB09040,"Efinaconazoleis an antifungal agent used to treat onychomycosis, a fungal infection of the nail.","Efinaconazole is a 14 alpha-demethylase inhibitor indicated in the treatment of fungal infection of the nail, known as onychomycosis. It was approved for use in Canada and the USA in 2014 and is marketed by Valeant Pharmaceuticals North America LLC under the name Jublia.",Average: 348.398Monoisotopic: 348.17616767,C18H22F2N4O
Daclatasvir,,DB09102,Daclatasviris a direct-acting antiviral agent used to treat specific hepatitis C virus (HCV) infections in combination with other antiviral agents.,"Daclatasvir is a direct-acting antiviral agent against Hepatitis C Virus (HCV) used for the treatment of chronic HCV genotype 1 and 3 infection. It is marketed under the name DAKLINZA and is contained in daily oral tablets as the hydrochloride salt form . Hepatitis C is an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients8. Daclatasvir was the first drug with demonstrated safety and therapeutic efficacy in treating HCV genotype 3 without the need for co-administration of interferon orRibavirin. It exerts its antiviral action by preventing RNA replication and virion assembly via binding to NS5A, a nonstructural phosphoprotein encoded by HCV. Binding to the N-terminus of the D1 domain of NS5A prevents its interaction with host cell proteins and membranes required for virion replication complex assembly. Daclatasvir is shown to target both the cis- and trans-acting functions of NS5A and disrupts the function of new HCV replication complexes by modulating the NS5A phosphorylation status3. The most common critical NS5A amino acid substitutions that led to reduced susceptibility to daclatasvir therapy occured at position Q30 (Q30H/K/R) and M28 in genotype 1a patients and Y93H in genotype 3 patients.According to 2017 American Association for the Study of Liver Diseases (AASLD), 60mg of daclatasvir is recommended with 400mgSofosbuvirfor genotype 1a/b patients with or without cirrhosis as second-line therapy. The same dosing regimen can be used as first-line therapy in patients with genotype 3 without cirrhosis and second-line therapy in genotype 3 patients with compensated cirrhosis. Combination therapies that include daclatasir can be used for challenging-to-treat patients who have HIV-1 coinfection, advanced cirrhosis, or post-liver transplant recurrence of HCV9. The therapy is intended to cure or achieve a sustained virologic response (SVR12), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality6.Daclatasvir was FDA-approved in July 2015 for use withSofosbuvir(Sovaldi) with or withoutRibavirinto treat HCV genotype 1 and 3 infections. The SVR12 in HCV genotype 1a-infected treatment-naïve subjects without and with cirrhosis undergoing daclatasvir andSofosbuvirtherapy were 88% and 99%, respectivelyLabel. The same dosing regimen in treatment-naïve patients with HCV genotype 3 infection with or without cirrhosis achieved SVR12 rates of 71% and 98%, respectivelyLabel.",Average: 738.89Monoisotopic: 738.385331362,C40H50N8O6
Belinostat,Beleodaq,DB05015,Belinostatis a histone deacetylase (HDAC) inhibitor used for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL).,Belinostat is a novel agent that inhibits the enzyme histone deacetylase (HDAC) with a sulfonamide-hydroxamide structure. It was developed as an orphan drug to target hematological malignancies and solid tumors by TopoTarget. The safety and efficacy of belinostat is currently being evaluated for use in combination with traditional front-line therapies for the treatment of PTCL. Intravenous administration of the agent is available as Beleodaq as monotherapy and the dosing regimen involves a 21-day cycle. It was US-approved in July 2014 as a therapeutic agent for relapsed or refractory peripheral T-cell lymphoma.,Average: 318.35Monoisotopic: 318.067428113,C15H14N2O4S
Tavaborole,Kerydin,DB09041,"Tavaboroleis an antifungal agent used to treat onychomycosis, a fungal infection of the nail.","Tavaborale is a novel, boron-based topical antifungal medication for the treatment of onychomycosis, a fungal infection of the nail and nail bed due toTrichophyton rubrumorTrichophyton mentagrophytesinfection. Tavaborole functions by inhibiting Leucyl-tRNA synthetase, or LeuRS, an essential fungal enzyme required for protein synthesis and for the catalysis of ATP-dependent ligation of L-leucine to tRNA(Leu).",Average: 151.93Monoisotopic: 152.044488,C7H6BFO2
Idelalisib,Zydelig,DB09054,"Idelalisibis an antineoplastic kinase inhibitor used to treat chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL).","Idelalisib is a phosphoinositide 3-kinase inhibitor indicated in the treatment of chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL). For the treatment of relapsed CLL, it is currently indicated as a second-line agent in combination with rituximab in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities, while in the treatment of FL and SLL it is intended to be used in patients who have received at least two prior systemic therapies. More specifically, idelalisib targets P110δ, the delta isoform of the enzyme phosphatidylinositol-4,5-bisphosphate 3-kinase, also known as PI-3K. The PI-3Ks are a family of enzymes involved in cellular functions such as cell growth, proliferation, differentiation, motility, survival and intracellular trafficking, which in turn are involved in cancer. In contrast to the other class IA PI3Ks p110α and p110β, p110δ is principally expressed in leukocytes (white blood cells) and is important for the function of T cells, B cell, mast cells and neutrophils. By inhibiting this enzyme, idelalisib induces apoptosis of malignant cells and inhibits several cell signaling pathways, including B-cell receptor (BCR) signaling and C-X-C chemokine receptors type 5 and type 4 signalling, which are involved in trafficking and homing of B-cells to the lymph nodes and bone marrow. Treatment of lymphoma cells with idelalisib has been shown to result in inhibition of chemotaxis and adhesion, and reduced cell viability.",Average: 415.432Monoisotopic: 415.155686391,C22H18FN7O
Enoxaparin,Lovenox,DB01225,Enoxaparinis a low molecular weight heparin used for the prophylaxis of deep vein thrombosis and ischemic complications of unstable angina and non-Q-wave myocardial infarction.,"Enoxaparin is a common low-molecular-weight heparin (LMWH) used in the prevention and management of various thromboembolic disorders. Initially approved by the FDA in 1993, it is administered by a subcutaneous or intravenous injection and marketed by several pharmaceutical companies.11Enoxaparin markedly reduces the incidence of venous thromboembolism in hospitalized patients when compared to unfractionatedheparin, without increasing the risk of serious bleeding.5,7",,
CarbamoylcholineCommonly known or available as Carbachol,"Carbastat, Miostat",DB00411,"Carbacholis a direct acting miotic agent administered ophthalmically to decrease intraocular pressure after cataract surgery, and to induce miosis during surgery.","Carbamoylcholine, also known as carbachol, is a muscarinic agonist discovered in 1932.2Carbamoylcholine was initially used as a treatment for migraines,6induction of diuresis,7and other parasympathetic effects.Carbamoylcholine was granted FDA approval on 28 September 1972.9",Average: 147.1955Monoisotopic: 147.113352734,C6H15N2O2
Suvorexant,Belsomra,DB09034,Suvorexantis a orexin receptor antagonist used to treat insomnia that is characterized by difficulties with sleep onset and/or sleep maintenance.,Suvorexant is a selective dual antagonist of orexin receptors OX1R and OX2R that promotes sleep by reducing wakefulness and arousal. It has been approved for the treatment of insomnia.,Average: 450.93Monoisotopic: 450.1571017,C23H23ClN6O2
Istradefylline,Nourianz,DB11757,Istradefyllineis a selective adenoside A2A receptor antagonist indicated in adjunct to levodopa and carbidopa for the treatment of Parkinson's Disease.,"Istradefylline, or KW6002, was developed by Kyowa Hakko Kirin in Japan for the treatment of Parkinson's disease as an adjunct to standard therapy.2Unlike standard dopaminergic therapies for Parkinson's, Istradefylline targets adenosine A2Areceptors in the basal ganglia.2This region of the brain is highly involved in motor control.2Istradefylline is indicated as an adjunct treatment tolevodopaandcarbidopafor Parkinson's disease.8This drug was first approved in Japan on 25 March 2013.2Istradefylline was granted FDA approval on 27 August 2019.5",Average: 384.436Monoisotopic: 384.179755269,C20H24N4O4
Calfactant,Infasurf,DB06415,Calfactantis a lung surfactant for the prophylaxis of respiratory distress syndrome in high-risk infants.,"Calfactant is a sterile, non-pyrogenic lung surfactant intended for intratracheal instillation. It is an off-white suspension of an extract of natural surfactant from calf lungs suspended in 0.9% saline. Each milliliter of calfactant contains 35mg of phospholipids (including 26 mg phosphatidylcholine of which 16 mg is disaturated phosphatidylcholine) and 0.65mg of proteins including surfactant-associated proteins B and C.Calfactant is approved for use in the United States of America. It is used to prevent or treat respiratory distress syndrome in premature infants with lung surfactant deficiency. Calfactant has been shown to decrease the incidence of respiratory distress syndrome, mortality due to respiratory distress syndrome, and air leaks associated with respiratory distress syndrome in clinical trials. It adsorbs to the air:fluid interface in the lungs and works to reduce surface tension, in a manner similar to endogenous pulmonary surfactant.",,
Dulaglutide,Trulicity,DB09045,Dulaglutideis a GLP-1 agonist used to manage type 2 diabetes mellitus.,"Dulaglutide, marketed by Eli Lilly as Trulicity, is a once-weekly subcutaneous glucagon-like peptide-1 (GLP-1) receptor agonist designed using recombinant DNA technology; it has been approved as an adjunct therapy to diet and exercise in the management of 2 diabetes (T2DM).5Dulaglutide was initially approved by the FDA in 2014, and in February 2020 was approved for use in patients with T2DM and multiple cardiovascular risk factors for the prevention of cardiovascular events. It is the first T2DM drug approved to reduce major adverse cardiovascular events (MACE) risk in primary and secondary prevention populations.8",,
Cetilistat,,DB06586,,"Cetilistat is a novel inhibitor of pancreatic lipase being developed by Alizyme for the treatment of obesity and associated co-morbidities, including type 2 diabetes.",Average: 401.5821Monoisotopic: 401.292994119,C25H39NO3
Favipiravir,,DB12466,"Favipiraviris an antiviral used to manage influenza, and that has the potential to target other viral infections.","Discovered by Toyama Chemical Co., Ltd. in Japan, favipiravir is a modified pyrazine analog that was initially approved for therapeutic use in resistant cases of influenza.7,9The antiviral targets RNA-dependent RNA polymerase (RdRp) enzymes, which are necessary for the transcription and replication of viral genomes.7,12,13Not only does favipiravir inhibit replication of influenza A and B, but the drug has shown promise in the treatment of avian influenza, and may be an alternative option for influenza strains that are resistant to neuramidase inhibitors.9,19Favipiravir has been investigated for the treatment of life-threatening pathogens such as Ebola virus, Lassa virus, and now COVID-19.10,14,15",Average: 157.104Monoisotopic: 157.028754544,C5H4FN3O2
Topiroxostat,,DB01685,,"Topiroxostat is a selective xanthine oxidase inhibitor developed for treatment and management of hyperuricemia and gout. Xanthine oxidase, or xanthine oxidoreductase (XOR), regulates purine metabolism, and inhibition of the enzyme results in efficacious reduction of serum urate levels. Xanthine oxidase inhibitors are classified into two groups; purine analogs such asAllopurinolandOxypurinol, and non-purine agents which includes topiroxostat. WhileAllopurinolis considered a first-line therapy in treating hyperuricemic conditions, it is often associated with side effects and ineffective in reducing uric acid levels under recommended dosing regimens. Renal complications are major comorbidities that limit theAllopurinoltherapy as dose reductions are recommended. Topiroxostat and its metabolites are shown to be unaffected by renal complications, thus may be effective in patients with chronic kidney diseases2. Approved for therapeutic use in Japan since 2013, topiroxostat is marketed under the name Topiloric and Uriadec and is orally administered twice daily.",Average: 248.2428Monoisotopic: 248.081044286,C13H8N6
Asunaprevir,,DB11586,Asunapreviris an NS3 protease inhibitor used to treat hepatitis C genotype 1b.,"Asunaprevir, also named BMS-650032, is a potent hepatitis C virus (HCV) NS3 protease inhibitor. It has been shown to have a very high efficacy in dual-combination regimens with daclatasvir in patients chronically infected with HCV genotype 1b.2It was developed by Bristol-Myers Squibb Canada and approved by Health Canada on April 22, 2016. The commercialization of asunaprevir was cancelled one year later on October 16, 2017.4",Average: 748.286Monoisotopic: 747.270476492,C35H46ClN5O9S
Carbamazepine,"Carbatrol, Carnexiv, Epitol, Equetro, Tegretol",DB00564,Carbamazepineis an anticonvulsant used to treat various types of seizures and pain resulting from trigeminal neuralgia.,"Carbamazepine, also known as Tegretol, is an anticonvulsant drug and analgesic drug used to control seizures and to treat pain resulting from trigeminal neuralgia. It was initially approved by the FDA in 1965.3Aside from the above uses, this drug is also given to control the symptoms of bipolar 1.16Interestingly, carbamazepine was the first anticonvulsant used to treat individuals with bipolar disorder.6",Average: 236.2686Monoisotopic: 236.094963016,C15H12N2O
Ipragliflozin,,DB11698,,"Ipragliflozin is under investigation in Type 2 Diabetes and Diabetes Mellitus, Type 2.",Average: 404.45Monoisotopic: 404.109373113,C21H21FO5S
Luseogliflozin,,DB12214,Luseogliflozinis an SGLT2 inhibitor used to manage type 2 diabetes mellitus.,"Luseogliflozin has been used in trials studying the treatment of Diabetes Melltius, Type 2.",Average: 434.55Monoisotopic: 434.17630986,C23H30O6S
Tofogliflozin,,DB11824,,Tofogliflozin has been used in trials studying the treatment and prevention of Diabetes Mellitus Type 2.,Average: 386.444Monoisotopic: 386.172938557,C22H26O6
Tipiracil,Lonsurf,DB09343,Tipiracilis a thymidine phosphorylase inhibitor used as an adjunct treatment of adult patients with certain types of gastric or colorectal malignancies.,"Tipiracil is a thymidine phosphorylase inhibitor. It is used in combination with trifluridine, in a ratio of 1:0.5, to form TAS-102. The main function of Tipiracil in TAS-102 is to increase trifluridine bioavailability by inhibiting its catabolism.2TAS-102 is indicated for the treatment of metastatic colorectal cancer which has been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, or with an anti-VEGF or anti-EGFR therapy.1",Average: 242.662Monoisotopic: 242.057053323,C9H11ClN4O2
Iguratimod,,DB12233,,Iguratimod is under investigation in Rheumatoid Arthritis.,Average: 374.37Monoisotopic: 374.057257353,C17H14N2O6S
Teneligliptin,,DB11950,,Teneligliptin has been investigated for the treatment of Type 2 Diabetes Mellitus.,Average: 426.578Monoisotopic: 426.220180302,C22H30N6OS
Anagliptin,,DB12417,,"Anagliptin is under investigation for the treatment of LDL Cholesterol, Coronary Disease, Diabetes Mellitus, Glycosylated Hemoglobin, and Dipeptidyl-Peptidase 4 Inhibitors.",Average: 383.456Monoisotopic: 383.206973073,C19H25N7O2
Edoxaban,"Lixiana, Savaysa",DB09075,Edoxabanis a novel oral anticoagulant used for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF).,"Edoxaban is a member of the Novel Oral Anti-Coagulants (NOACs) class of drugs, and is a rapidly acting, oral, selective factor Xa inhibitor. By inhibiting factor Xa, a key protein in the coagulation cascade, edoxaban prevents the stepwise amplification of protein factors needed to form blood clots. It is indicated to reduce the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF) and for the treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) following 5-10 days of initial therapy with a parenteral anticoagulant. Traditionally, warfarin, a vitamin K antagonist, was used for stroke prevention in these individuals but effective use of this drug is limited by it's delayed onset, narrow therapeutic window, need for regular monitoring and INR testing, and numerous drug-drug and drug-food interactions. This has prompted enthusiasm for newer agents such as dabigatran, apixaban, and rivaroxaban for effective clot prevention. In addition to once daily dosing, the benefits over warfarin also include significant reductions in hemorrhagic stroke and GI bleeding, and improved compliance, which is beneficial as many patients will be on lifelong therapy.",Average: 548.06Monoisotopic: 547.1768513,C24H30ClN7O4S
Netupitant,Akynzeo,DB09048,Netupitantis an antiemetic agent used in combination with palonosetron to prevent acute and delayed vomiting and nausea caused by chemotherapy.,Netupitant is an antiemitic drug approved by the FDA in October 2014 for use in combination with palonosetron for the prevention of acute and delayed vomiting and nausea associated with cancer chemotherapy including highly emetogenic chemotherapy. Netupitant is a neurokinin 1 receptor antagonist. The combination drug is marketed by Eisai Inc. and Helsinn Therapeutics (U.S.) Inc. under the brand Akynzeo.,Average: 578.603Monoisotopic: 578.248030644,C30H32F6N4O
Ledipasvir,Harvoni,DB09027,Ledipasviris a direct-acting antiviral agent used to treat specific hepatitis C virus (HCV) infections in combination with other antiviral agents.,"Ledipasvir is a direct acting antiviral (DAA) medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients9. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as ledipasvir. More specifically, ledipasvir is an inhibitor of the Hepatitis C Virus (HCV) Non-Structural Protein 5A (NS5A), which is required for viral RNA replication and assembly of HCV virions. Although its exact mechanism of action is unknown, it is postulated to prevent hyperphosphorylation of NS5A which is required for viral protein production. It is effective against genotypes 1a, 1b, 4a, and 5a and with a lesser activity against genotypes 2a and 3a of HCV. Ledipasvir and other direct acting antivirals are very potent options for the treatment of Hepatitis C, as they exhibit a high barrier to the development of resistance8. This is an important advantage relative to HCV drugs that target other viral enzymes such as the protease, for which rapid development of resistance has proven to be an important cause of therapeutic failure.In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) recommend ledipasvir as a first line therapy option in combination withsofosbuvirfor the treatment of HCV genotypes 1a, 1b, 4, 5, and 69. Treatment with ledipasvir is used with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality6. Treatment with direct acting antivirals such as ledipasvir is associated with very minimal side effects, with the most common being headache and fatigueLabel. Lack of significant side effects and short duration of therapy is a considerable advantage over older interferon- and ribavirin-based regimens, which were limited by infusion site reactions, reduced blood count, and neuropsychiatric effects7.Since 2014, ledipasvir has been available as a fixed dose combination product withsofosbuvir(tradename Harvoni) used for the treatment of chronic Hepatitis C. Approved in October 2014 by the FDA, Harvoni is indicated for the treatment of HCV genotypes 1, 4, 5, and 6 with or withoutribavirindepending on the level of liver damage or cirrhosisLabel. When combined together, ledipasvir and sofosbuvir as the combination product Harvoni has been shown to achieve a SVR between 93 and 99% after 12 weeks of treatmentLabel. Its use has also proven successful in the treatment of HCV in patients co-infected with HIV5.",Average: 888.9999Monoisotopic: 888.41343791,C49H54F2N8O6
Acefylline,,DB13573,,Not Available,Average: 238.203Monoisotopic: 238.070204818,C9H10N4O4
Diquafosol,,DB15919,Diquafosolis a medication indicated to treat dry eyes associated with keratoconjunctival disorders.,Not Available,Average: 790.306Monoisotopic: 789.993831105,C18H26N4O23P4
Insulin glargine,"Basaglar, Lantus, Rezvoglar, Semglee, Soliqua, Toujeo",DB00047,Insulin glargineis a modified form of long-acting or basal insulin used to control hyperglycemia in diabetes mellitus.,"Insulin glargine is a long-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is typically prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis.Insulin is an important treatment in the management of Type 1 Diabetes (T1D), which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin, such as insulin glargine, to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually causes cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after several oral medications such asMetformin,Gliclazide, orSitagliptinhave been tried, when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own.Available as the brand name product Lantus, insulin glargine has a duration of action up to 24 hours allowing for once-daily dosing, typically at bedtime. Due to its duration of action, Lantus is considered ""basal insulin"" as it provides low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Basal insulin is often combined with short-acting ""bolus insulin"" such asInsulin lispro,Insulin glulisine, andInsulin aspartto provide higher doses of insulin that are required following meals. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.Insulin glargine is also available as the biosimilar, or ""follow-on"" product, Basaglar in the US and as Abasaglar in the EU. As of 2015, insulin glargine was reformulated by Sanofi as the product Toujeo in an extra-concentrated form containing 300IU/mL (compared to 100IU/mL contained in Lantus). Use of the higher concentrated Toujeo as compared to Lantus results in slightly different pharmacokinetics, with a later onset (up to 6 hours) and duration of action (up to 30 hours). In 2021, another biosimilar, Semglee (insulin glargine-yfgn),12became the first interchangeable (with Lantus) biosimilar insulin to receive FDA approval.13Insulin glargine is produced by recombinant DNA technology using a non-pathogenic laboratory strain of Escherichia coli (K12) as the production organism. Insulin glargine differs from endogenous human insulin by the replacement of an asparagine residue at position A21 of the A-chain with glycine and addition of two arginines to the C-terminus (positions B31 and 32) of the B-chain. The resulting protein is soluble at pH 4 and forms microprecipitates at physiological pH 7.4 allowing for the slow release of small amounts of insulin glargine, giving the drug a long duration of action and no pronounced peak concentration.Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.",,
Insulin human,"Actraphane, Actrapid, Afrezza, Entuzity, Exubera, Humulin, Humulin N, Humulin R, Insulatard, Insuman, Myxredlin, Novolin, Novolin N, Novolin R",DB00030,Insulin humanis a recombinant form of human insulin used to control hyperglycemia in diabetes mellitus.,"Human Insulin, also known as Regular Insulin, is a short-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Human insulin is produced by recombinant DNA technology and is identical to endogenously produced insulin. Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually causes cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after trying several oral medications such asMetformin,Gliclazide, orSitagliptinhave been tried, when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own.Marketed as the brand name product Humulin R or Novolin R, human insulin begins to exert its effects within 30 minutes of subcutaneous administration, while peak levels occur 3-4 hours after administration. Due to its quick onset of action, human insulin is considered ""bolus insulin"" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Bolus insulin is often combined with once daily, long-acting ""basal insulin"" such asInsulin detemir,Insulin degludec, andInsulin glargineto provide low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.Human insulin is also available in an inhalable form, intended to be used as a bolus meal-time insulin. Exubera was the first inhaled insulin available on the market and was developed by Inhale Therapeutics (later named Nektar Therapeutics). Unfortunately, limited uptake by physicians and patients, poor sales, bulky packaging, and concerns over the possible impact on lung cancer development resulted in Exubera products being withdrawn from the US markets6. Exubera was followed by Afrezza, a monomeric inhaled insulin developed by Mannkind Corporation, which received FDA approval in 2016. While still available in the US, Afrezza has had similar concerns associated with its use, and had an FDA ""black box"" warning added to it to warn about use in patients with chronic lung disease. Afrezza does not currently have Health Canada or European Medicines Agency approval for marketing in Canada or the EU.Human Insulin is a 51 residue peptide hormone produced by recombinant DNA technology by inserting the human insulin gene into Escherichia coli bacteria or Saccharomyces cerevisiae. The structure is identical to native human insulin, with two amino acid chains covalently linked by disulfide bonds.Human insulin is also available in an intermediate-acting form as NPH (Neutral Protamine Hagedorn) as the marketed products Novolin N and Humulin N. NPH insulin is provided as a crystalline suspension of insulin with protamine and zinc, resulting in an onset of action in 1 to 3 hours, duration of action up to 24 hours, and peak action from 6 to 8 hours. Due to the added crystals, NPH insulin is typically cloudy when compared to other forms of insulin and has a neutral pH.Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.",,
Imidafenacin,,DB09262,Imidafenacinis an antispasmodic with anticholinergic effects used to reduce urinary frequency.,Imidafenacin is an antispasmodic agent with anticholinergic effects. It antagonizes muscarinic receptors in the bladder to reduce the frequency of urination in the treatment of overactive bladder. It is marketed in Japan under the tradenames Staybla by Ono Pharmaceutical and Uritos by Kyojin Pharmaceutical.,Average: 319.408Monoisotopic: 319.168462308,C20H21N3O
Nintedanib,"Ofev, Vargatef",DB09079,"Nintedanibis a triple angiokinase inhibitor indicated for the treatment of idiopathic pulmonary fibrosis, systemic sclerosis-associated interstitial lung disease, and in combination with docetaxel for non-small cell lung cancer.","Nintedanib is a small molecule kinase inhibitor used in the treatment of pulmonary fibrosis, systemic sclerosis-associated interstitial lung disease, and non-small cell lung cancer (NSCLC).8,9It was first approved for use in the United States in 2014.8Within the spectrum of idiopathic pulmonary fibrosis treatment options, nintedanib is currently one of only two disease-modifying therapies available and indicated for the condition (the other beingPirfenidone) and as such is used as a first-line treatment following diagnosis to slow down the progressive loss of lung function.6As a chemotherapeutic agent for NSCLC, nintedanib, in combination withDocetaxel, is reserved for patients who have tried and failed first-line chemotherapeutic options.9",Average: 539.6248Monoisotopic: 539.253254569,C31H33N5O4
